resource_type,resource_name,user_id,timestamp,metadata
tableau,Operation,khoamld,2/10/2026 15:37,"{""folder"": ""661 - Play Together"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
realtime,Real-time Dashboard,nguyenlk2,2/10/2026 15:33,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,thond3,2/10/2026 15:19,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,nghiant2,2/10/2026 15:15,"{""folder"": ""A14 - The Play of Genesis"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,vuvm2,2/10/2026 15:15,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,nghiant2,2/10/2026 15:15,"{""folder"": ""A52 - Naraka: Bladepoint"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,nghiant2,2/10/2026 15:15,"{""folder"": ""G0010 - KTO-TWSM (909,949)"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,trieutq2,2/10/2026 14:57,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,vudh3,2/10/2026 14:57,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Reporting,ruixiangf,2/10/2026 14:56,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Operation,khoamld,2/10/2026 14:56,"{""folder"": ""661 - Play Together"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,661 - Play Together,khoamld,2/10/2026 14:56,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Reporting,lelpt,2/10/2026 14:55,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,hienntt13,2/10/2026 14:55,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
game,"C06,C07 - Ballistar_TWID",lelpt,2/10/2026 14:55,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Ingame Analysis,khoamld,2/10/2026 14:55,"{""folder"": ""661 - Play Together"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,661 - Play Together,khoamld,2/10/2026 14:55,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,khoamld,2/10/2026 14:55,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,trieutq2,2/10/2026 14:54,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,trieutq2,2/10/2026 14:54,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,hieptn,2/10/2026 14:53,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,hieptn,2/10/2026 14:52,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,hieptn,2/10/2026 14:52,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,hieptn,2/10/2026 14:52,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,hieptn,2/10/2026 14:52,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,hieptn,2/10/2026 14:52,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,hieudt6,2/10/2026 14:48,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,thambt,2/10/2026 14:47,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,nghiant2,2/10/2026 14:31,"{""folder"": ""AA22: Lineage 2 Mobile"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,nghiant2,2/10/2026 14:30,"{""folder"": ""AA15 - Dream and Lethe Record All"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,nghiant2,2/10/2026 14:28,"{""folder"": ""A70 - Nghịch Thuỷ Hàn"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
game,A486 - Thiên Dụ (Revelation),kieunn2,2/10/2026 14:23,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,vudh3,2/10/2026 14:22,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
